NU_INSCRICAO;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;TP_PRESENCA_CN;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
'190001176875';19;F;1;2;2;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;H;D;F;B;2;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;A
'190001176883';18;F;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;693.3;682.1;659.9;752.6;1;900;E;F;C;D;5;I;A;B;D;A;B;B;B;A;A;A;A;A;B;A;A;D;B;B;B
'190001179904';19;F;1;4;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;412.6;449;381.2;496.3;0;520;B;E;C;B;5;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
'190001179907';34;F;2;3;1;11;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.1;496.2;533.2;506.8;0;280;H;D;C;A;5;B;A;B;D;A;B;B;A;B;A;A;A;A;B;A;A;C;A;A;B
'190001182497';22;F;1;3;1;5;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;E;E;F;C;2;B;A;B;C;A;B;B;A;B;A;A;A;A;B;B;A;B;A;A;A
'190001182521';21;M;1;3;1;4;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;599.7;596.4;569.9;609.4;0;560;D;E;B;B;5;C;A;B;C;A;B;B;A;B;A;B;A;A;B;B;A;C;A;B;A
'190001182526';19;F;1;3;1;1;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;474.5;558.4;564.4;507.1;0;740;D;E;C;C;3;C;A;B;C;B;A;B;B;A;A;A;A;A;B;A;A;D;A;A;B
'190001182529';26;F;2;3;1;10;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;E;F;D;B;2;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B
'190001182531';20;M;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;464.7;471.8;500.5;443.8;0;620;E;F;C;B;2;D;A;B;C;A;A;B;A;A;A;B;A;A;B;B;A;C;A;A;A
'190001182533';18;F;1;2;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;546.5;581.5;609.4;677.8;1;920;E;E;D;B;3;D;A;B;C;A;B;B;B;A;A;A;A;A;B;A;A;D;A;B;B
'190001182534';20;F;2;1;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;402.4;472.3;397.9;404;1;560;H;H;F;F;2;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;B;B
'190001185206';17;F;1;3;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;D;D;B;B;5;C;A;B;C;A;C;B;A;B;B;B;A;A;B;B;A;D;A;A;B
'190001185211';22;F;1;3;1;2;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;D;H;B;B;3;C;A;B;B;A;B;B;B;A;A;A;A;A;B;A;A;B;A;A;B
'190001185216';23;F;1;3;1;5;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;H;C;F;B;4;C;A;B;C;A;A;B;A;B;B;A;A;A;B;A;A;D;A;A;B
'190001185222';26;M;1;3;1;9;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;512;518.6;531.2;639.5;1;620;B;F;A;B;4;C;A;B;D;A;C;B;A;A;A;A;A;A;B;A;A;D;A;A;A
'190001185229';23;M;1;3;1;2;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;A;E;A;B;7;E;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;E;A;A;B
'190001185232';18;F;1;1;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;446.9;531.5;570.2;513.6;1;860;D;E;C;B;6;I;A;B;C;B;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B
'190001185233';23;F;2;2;1;3;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;480.5;501.7;550;492.2;0;580;B;C;A;A;6;B;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B
'190001185236';23;F;1;1;1;6;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;399.2;451.9;512.3;581.2;1;860;H;F;F;D;4;M;A;B;D;B;A;B;B;B;A;B;A;A;B;A;B;D;A;B;B
'190001185238';19;F;1;1;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;454.4;379.6;500.7;503.1;0;480;H;E;F;B;5;B;A;B;C;A;A;B;B;A;A;A;A;A;B;B;A;E;B;A;B
'190001187955';18;F;1;3;1;1;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;456;490.3;513.2;404;0;780;E;D;C;B;3;D;A;B;C;B;B;B;B;B;A;A;A;A;B;A;A;D;B;B;B
'190001187958';18;F;1;1;1;2;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;594.3;630.5;636.7;713.7;0;780;C;D;F;D;3;C;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;D;A;A;B
'190001187960';20;M;1;2;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;449.3;441;437.4;407.3;0;640;C;D;C;B;6;G;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;E;B;A;B
'190001187964';18;F;1;2;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;463.9;562.5;595.5;569.4;0;740;H;F;F;B;3;B;A;C;C;B;B;C;A;B;A;A;A;A;C;A;A;D;A;B;B
'190001187970';24;M;1;3;1;6;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;436.2;436.4;431.6;412.3;1;500;D;C;B;C;2;B;A;B;C;A;A;B;B;B;A;A;A;A;B;A;B;D;A;A;B
'190001187972';19;F;1;3;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;523.3;572.7;565.4;507.2;1;560;G;F;B;B;4;A;A;D;D;B;A;B;A;A;A;A;A;A;B;A;A;E;A;B;B
'190001187973';19;F;1;4;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;477.6;483.7;485.5;506.9;0;560;B;B;C;A;5;B;A;B;D;A;A;B;B;A;A;A;A;A;B;B;A;D;A;B;B
'190001187976';22;F;1;3;1;4;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;403.5;563.5;590.7;493;0;560;E;C;B;B;3;C;A;B;D;A;B;B;A;B;A;B;A;A;B;A;A;D;A;B;B
'190001187993';17;F;1;3;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;517.7;471.6;505.4;461;1;560;E;F;B;B;4;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;C;B;A;A
'190001190690';21;M;1;3;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;400;537.7;492;382.8;1;800;B;E;B;B;4;B;A;B;C;B;C;B;A;A;A;A;A;A;A;B;A;C;A;B;A
'190001190694';38;F;2;2;1;13;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;429.4;426.3;399.4;404.5;1;540;A;A;A;A;7;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;E;A
'190001190696';17;M;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;E;E;D;D;4;E;A;C;D;B;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B
'190001190698';19;F;1;1;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;574.3;567.7;579.9;523.1;1;840;H;E;F;D;2;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B
'190001190699';24;M;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;465.5;563.6;502.5;446.5;1;640;B;B;A;B;1;B;A;B;A;A;A;B;A;A;A;A;A;A;A;A;A;B;A;B;B
'190001190704';23;F;2;3;1;3;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;426.8;524.5;530.5;456.8;0;420;B;B;A;B;2;B;A;B;B;A;B;B;A;B;A;B;A;A;B;A;A;C;A;A;B
'190001190724';22;F;1;2;1;4;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;D;E;C;B;3;G;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;D;A;A;B
'190001190730';39;F;2;3;1;13;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;C;F;D;C;4;E;A;C;D;B;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B
'190001190734';19;M;1;3;1;0;2;;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;510.1;486.1;516.6;689.1;1;500;D;E;C;B;3;C;A;B;D;A;A;B;B;B;A;B;A;A;B;A;A;B;B;B;B
